0	0	2.93	2.09	3.17	2.69
0	1	2.63	2.49	3.04	2.80
0	2	3.18	2.75	3.25	3.07
0	3	3.04	2.79	3.67	2.97
0	4	3.31	2.63	3.78	2.80
0	5	3.47	2.85	3.70	2.92
0	6	4.04	3.07	4.03	2.86
0	7	4.02	3.16	4.06	3.05
0	8	4.28	3.05	4.03	3.07
0	9	4.09	3.05	3.92	2.92
0	10	4.08	3.09	3.76	3.00
0	11	4.02	3.05	3.64	2.99
0	12	3.83	3.01	3.21	2.96
0	13	3.52	2.98	3.04	2.73
0	14	3.13	2.82	2.92	2.65
0	15	3.07	2.76	2.63	2.56
1	0	2.88	2.45	3.02	3.00
1	1	2.88	2.29	3.17	2.87
1	2	2.98	2.49	3.37	3.02
1	3	3.32	2.38	3.69	2.98
1	4	3.57	2.76	4.07	3.18
1	5	3.71	3.04	4.16	3.18
1	6	3.97	3.26	4.55	3.37
1	7	4.59	3.18	4.65	3.34
1	8	4.91	3.31	4.39	3.40
1	9	5.02	3.39	4.50	3.34
1	10	4.70	3.34	4.27	3.23
1	11	4.76	3.37	3.86	3.23
1	12	4.66	3.22	3.52	2.59
1	13	3.92	3.24	3.24	2.79
1	14	3.59	2.57	2.88	2.32
1	15	3.62	2.72	2.91	2.51
2	0	2.92	2.50	3.38	2.73
2	1	3.06	2.48	3.39	3.06
2	2	3.16	2.40	3.61	3.07
2	3	3.35	2.54	3.87	3.16
2	4	3.77	3.00	4.42	3.28
2	5	3.95	3.30	5.08	3.37
2	6	4.68	3.35	5.68	3.41
2	7	5.36	3.27	5.78	3.54
2	8	5.86	3.34	5.20	3.63
2	9	5.96	3.46	5.35	3.31
2	10	5.70	3.59	4.78	3.11
2	11	5.56	3.14	4.45	3.21
2	12	5.16	3.27	3.71	3.11
2	13	4.76	3.26	3.36	2.98
2	14	3.78	3.23	3.00	2.81
2	15	3.53	2.88	2.91	2.57
3	0	3.15	2.47	3.41	3.04
3	1	3.29	2.51	3.41	2.91
3	2	3.31	2.55	3.76	3.05
3	3	3.50	2.89	4.42	3.30
3	4	3.83	2.98	4.91	3.70
3	5	4.41	3.27	5.42	3.64
3	6	5.13	3.56	6.40	3.61
3	7	5.92	3.56	6.89	4.30
3	8	6.68	3.57	6.76	3.92
3	9	7.19	3.97	6.29	3.83
3	10	7.03	3.67	5.59	3.33
3	11	6.69	3.58	4.90	3.29
3	12	5.94	3.31	3.94	3.28
3	13	4.99	3.33	3.17	3.08
3	14	4.02	2.96	2.87	2.63
3	15	3.42	3.02	2.55	2.43
4	0	3.29	2.42	3.58	3.43
4	1	3.22	2.49	3.79	3.21
4	2	3.65	3.01	4.18	3.47
4	3	3.86	3.28	4.88	3.94
4	4	4.36	3.58	5.71	4.37
4	5	5.02	3.31	7.29	4.20
4	6	5.65	3.89	9.38	4.61
4	7	7.50	4.33	10.30	4.71
4	8	10.17	4.43	9.93	4.30
4	9	11.74	4.43	8.47	4.17
4	10	10.64	4.20	6.39	4.00
4	11	9.29	3.91	5.30	3.97
4	12	7.25	3.84	4.31	3.34
4	13	5.42	3.55	3.79	3.31
4	14	4.33	3.28	3.09	2.96
4	15	3.70	3.21	2.78	2.65
5	0	3.26	2.78	3.99	3.30
5	1	3.69	2.92	4.14	3.37
5	2	3.63	2.76	4.36	3.36
5	3	4.07	3.19	5.33	3.92
5	4	4.98	3.46	6.62	4.25
5	5	5.64	3.88	9.54	4.99
5	6	6.76	4.17	13.96	5.29
5	7	9.80	4.35	21.36	5.25
5	8	14.74	5.06	19.03	5.01
5	9	25.06	5.29	13.04	5.25
5	10	22.92	5.32	8.52	5.28
5	11	13.77	5.39	6.15	4.38
5	12	9.58	5.14	4.85	3.40
5	13	6.58	4.28	3.92	3.31
5	14	4.71	3.43	2.96	3.32
5	15	4.03	3.24	2.91	2.87
